tensor(0.7113, grad_fn=<MseLossBackward0>)
tensor(0.7080, grad_fn=<MseLossBackward0>)
tensor(0.7047, grad_fn=<MseLossBackward0>)
tensor(0.7014, grad_fn=<MseLossBackward0>)
tensor(0.6982, grad_fn=<MseLossBackward0>)
tensor(0.6949, grad_fn=<MseLossBackward0>)
tensor(0.6916, grad_fn=<MseLossBackward0>)
tensor(0.6884, grad_fn=<MseLossBackward0>)
tensor(0.6851, grad_fn=<MseLossBackward0>)
tensor(0.6819, grad_fn=<MseLossBackward0>)
tensor(0.6787, grad_fn=<MseLossBackward0>)
tensor(0.6754, grad_fn=<MseLossBackward0>)
tensor(0.6722, grad_fn=<MseLossBackward0>)
tensor(0.6690, grad_fn=<MseLossBackward0>)
tensor(0.6658, grad_fn=<MseLossBackward0>)
tensor(0.6626, grad_fn=<MseLossBackward0>)
tensor(0.6595, grad_fn=<MseLossBackward0>)
tensor(0.6563, grad_fn=<MseLossBackward0>)
tensor(0.6531, grad_fn=<MseLossBackward0>)
tensor(0.6500, grad_fn=<MseLossBackward0>)
tensor(0.6468, grad_fn=<MseLossBackward0>)
tensor(0.6437, grad_fn=<MseLossBackward0>)
tensor(0.6405, grad_fn=<MseLossBackward0>)
tensor(0.6374, grad_fn=<MseLossBackward0>)
tensor(0.6343, grad_fn=<MseLossBackward0>)
tensor(0.6312, grad_fn=<MseLossBackward0>)
tensor(0.6281, grad_fn=<MseLossBackward0>)
tensor(0.6250, grad_fn=<MseLossBackward0>)
tensor(0.6219, grad_fn=<MseLossBackward0>)
tensor(0.6188, grad_fn=<MseLossBackward0>)
tensor(0.6157, grad_fn=<MseLossBackward0>)
tensor(0.6126, grad_fn=<MseLossBackward0>)
tensor(0.6096, grad_fn=<MseLossBackward0>)
tensor(0.6065, grad_fn=<MseLossBackward0>)
tensor(0.6035, grad_fn=<MseLossBackward0>)
tensor(0.6005, grad_fn=<MseLossBackward0>)
tensor(0.5974, grad_fn=<MseLossBackward0>)
tensor(0.5944, grad_fn=<MseLossBackward0>)
tensor(0.5914, grad_fn=<MseLossBackward0>)
tensor(0.5884, grad_fn=<MseLossBackward0>)
tensor(0.5854, grad_fn=<MseLossBackward0>)
tensor(0.5824, grad_fn=<MseLossBackward0>)
tensor(0.5794, grad_fn=<MseLossBackward0>)
tensor(0.5765, grad_fn=<MseLossBackward0>)
tensor(0.5735, grad_fn=<MseLossBackward0>)
tensor(0.5706, grad_fn=<MseLossBackward0>)
tensor(0.5676, grad_fn=<MseLossBackward0>)
tensor(0.5647, grad_fn=<MseLossBackward0>)
tensor(0.5618, grad_fn=<MseLossBackward0>)
tensor(0.5589, grad_fn=<MseLossBackward0>)
tensor(0.5559, grad_fn=<MseLossBackward0>)
tensor(0.5530, grad_fn=<MseLossBackward0>)
